Away Team,City,Home Team,Match Date,Match ID,Match Referee,Player Of Match,Season,Team Gender,Toss Decision,Toss Winner,TV Umpire,Umpire,Venue,Winner,Number of Records,Winner Runs
Bangladesh,Bangalore,India,23-03-2016,951353,BC Broad,R Ashwin,2015/16,male,field,Bangladesh,IJ Gould,"Aleem Dar,BNJ Oxenford",M Chinnaswamy Stadium,India,1,1
Pakistan,Chandigarh,Australia,25-03-2016,951355,RS Madugalle,JP Faulkner,2015/16,male,bat,Australia,RK Illingworth,"HDPK Dharmasena,M Erasmus","""Punjab Cricket Association IS Bindra Stadium",Australia,1,21
West Indies,Nagpur,South Africa,25-03-2016,951357,BC Broad,MN Samuels,2015/16,male,field,West Indies,BNJ Oxenford,"IJ Gould,RA Kettleborough","""Vidarbha Cricket Association Stadium",West Indies,1,
New Zealand,Kolkata,Bangladesh,26-03-2016,951359,AJ Pycroft,KS Williamson,2015/16,male,bat,New Zealand,RSA Palliyaguruge,"JD Cloete,MA Gough",Eden Gardens,New Zealand,1,75
Sri Lanka,Delhi,England,26-03-2016,951361,JJ Crowe,JC Buttler,2015/16,male,field,Sri Lanka,CB Gaffaney,"PR Reiffel,RJ Tucker",Feroz Shah Kotla,England,1,10
Australia,Chandigarh,India,27-03-2016,951363,RS Madugalle,V Kohli,2015/16,male,bat,Australia,RK Illingworth,"HDPK Dharmasena,M Erasmus","""Punjab Cricket Association IS Bindra Stadium",India,1,
Sri Lanka,Delhi,South Africa,28-03-2016,951367,JJ Crowe,AM Phangiso,2015/16,male,field,South Africa,PR Reiffel,"S Ravi,RJ Tucker",Feroz Shah Kotla,South Africa,1,
New Zealand,Delhi,England,30-03-2016,951369,DC Boon,JJ Roy,2015/16,male,field,England,BNJ Oxenford,"HDPK Dharmasena,RJ Tucker",Feroz Shah Kotla,England,1,
West Indies,Mumbai,India,31-03-2016,951371,BC Broad,LMP Simmons,2015/16,male,field,West Indies,M Erasmus,"IJ Gould,RA Kettleborough",Wankhede Stadium,West Indies,1,
West Indies,Kolkata,England,03-04-2016,951373,RS Madugalle,MN Samuels,2015/16,male,field,West Indies,M Erasmus,"HDPK Dharmasena,RJ Tucker",Eden Gardens,West Indies,1,
Sri Lanka,Leeds,England,19-05-2016,913613,AJ Pycroft,JM Bairstow,2016,male,field,Sri Lanka,S Ravi,"Aleem Dar,RJ Tucker",Headingley,England,1,88
Sri Lanka,Chester-le-Street,England,27-05-2016,913615,AJ Pycroft,JM Anderson,2016,male,bat,England,RJ Tucker,"Aleem Dar,S Ravi",Riverside Ground,England,1,
South Africa,Guyana,West Indies,03-06-2016,932849,JJ Crowe,SP Narine,2016,male,bat,South Africa,NJ Llong,"RK Illingworth,JS Wilson",Providence Stadium,West Indies,1,
Australia,Guyana,West Indies,05-06-2016,932851,JJ Crowe,NM Lyon,2016,male,field,Australia,RK Illingworth,"GO Brathwaite,NJ Llong",Providence Stadium,Australia,1,
South Africa,Guyana,Australia,07-06-2016,932853,JJ Crowe,F Behardien,2016,male,bat,South Africa,NJ Llong,"RK Illingworth,JS Wilson",Providence Stadium,South Africa,1,47
Sri Lanka,London,England,09-06-2016,913617,AJ Pycroft,JM Bairstow,2016,male,bat,England,Aleem Dar,"S Ravi,RJ Tucker",Lord's,,1,
South Africa,St Kitts,Australia,11-06-2016,932855,JJ Crowe,DA Warner,2016,male,bat,Australia,RK Illingworth,"NJ Llong,JS Wilson","""Warner Park",Australia,1,36
India,,Zimbabwe,11-06-2016,1007649,RB Richardson,KL Rahul,2016,male,field,India,TJ Matibiri,"IJ Gould,RB Tiffin",Harare Sports Club,India,1,
Australia,St Kitts,West Indies,13-06-2016,932857,JJ Crowe,MN Samuels,2016,male,field,West Indies,NJ Llong,"GO Brathwaite,RK Illingworth","""Warner Park",West Indies,1,
India,,Zimbabwe,13-06-2016,1007651,RB Richardson,YS Chahal,2016,male,field,India,RB Tiffin,"IJ Gould,L Rusere",Harare Sports Club,India,1,
India,,Zimbabwe,15-06-2016,1007653,RB Richardson,KL Rahul,2016,male,bat,Zimbabwe,L Rusere,"IJ Gould,TJ Matibiri",Harare Sports Club,India,1,
South Africa,St Kitts,West Indies,15-06-2016,932859,JJ Crowe,Imran Tahir,2016,male,field,West Indies,RK Illingworth,"GO Brathwaite,NJ Llong","""Warner Park",South Africa,1,139
India,,Zimbabwe,18-06-2016,1007655,RB Richardson,E Chigumbura,2016,male,field,India,L Rusere,"TJ Matibiri,RB Tiffin",Harare Sports Club,Zimbabwe,1,2
South Africa,Barbados,Australia,19-06-2016,932861,JJ Crowe,,2016,male,field,Australia,RA Kettleborough,"HDPK Dharmasena,JS Wilson","""Kensington Oval",,1,
India,,Zimbabwe,20-06-2016,1007657,RB Richardson,BB Sran,2016,male,bat,Zimbabwe,TJ Matibiri,"L Rusere,RB Tiffin",Harare Sports Club,India,1,
Australia,Barbados,West Indies,21-06-2016,932863,JJ Crowe,MN Samuels,2016,male,field,Australia,HDPK Dharmasena,"GO Brathwaite,RA Kettleborough","""Kensington Oval",Australia,1,
Sri Lanka,Nottingham,England,21-06-2016,913623,DC Boon,CR Woakes,2016,male,field,England,BNJ Oxenford,"RJ Bailey,PR Reiffel",Trent Bridge,,1,
India,,Zimbabwe,22-06-2016,1007659,RB Richardson,KM Jadhav,2016,male,field,Zimbabwe,L Rusere,"TJ Matibiri,RB Tiffin",Harare Sports Club,India,1,3
Sri Lanka,Birmingham,England,24-06-2016,913625,DC Boon,JJ Roy,2016,male,bat,Sri Lanka,PR Reiffel,"MA Gough,BNJ Oxenford",Edgbaston,England,1,
South Africa,Barbados,West Indies,24-06-2016,932865,JJ Crowe,DM Bravo,2016,male,field,South Africa,RA Kettleborough,"GO Brathwaite,HDPK Dharmasena","""Kensington Oval",West Indies,1,100
Australia,Barbados,West Indies,26-06-2016,932867,JJ Crowe,MR Marsh,2016,male,bat,Australia,HDPK Dharmasena,"RA Kettleborough,JS Wilson","""Kensington Oval",Australia,1,58
Sri Lanka,Bristol,England,26-06-2016,913627,DC Boon,,2016,male,field,England,BNJ Oxenford,"PR Reiffel,RT Robinson",County Ground,,1,
Sri Lanka,London,England,29-06-2016,913629,DC Boon,JJ Roy,2016,male,field,England,PR Reiffel,"RJ Bailey,BNJ Oxenford",Kennington Oval,England,1,
Sri Lanka,Cardiff,England,02-07-2016,913631,DC Boon,JC Buttler,2016,male,field,Sri Lanka,BNJ Oxenford,"MA Gough,PR Reiffel",Sophia Gardens,England,1,122
Sri Lanka,Southampton,England,05-07-2016,913633,DC Boon,JC Buttler,2016,male,bat,Sri Lanka,RT Robinson,"RJ Bailey,MA Gough",The Rose Bowl,England,1,
Pakistan,London,England,14-07-2016,913641,RB Richardson,Yasir Shah,2016,male,bat,Pakistan,RJ Tucker,"HDPK Dharmasena,JS Wilson",Lord's,Pakistan,1,75
India,Antigua,West Indies,21-07-2016,1022593,RS Madugalle,R Ashwin,2016,male,bat,India,GO Brathwaite,"Aleem Dar,IJ Gould","""Sir Vivian Richards Stadium",India,1,92
Pakistan,Manchester,England,22-07-2016,913643,RB Richardson,JE Root,2016,male,bat,England,JS Wilson,"HDPK Dharmasena,RJ Tucker",Old Trafford,England,1,330
